Rank	Title	WorldwideLifetimeGross	Domesti LifetimeGross	Domestic%	ForeignLifetimeGross	Foreign%	Year
53	Pirates of the Caribbean: At World's End	960996492	309420425	0.322	651576067	0.678	2007
54	The Hobbit: The Desolation of Smaug	958366855	258366855	0.27	700000000	0.73	2013
55	The Hobbit: The Battle of the Five Armies	956019788	255119788	0.267	700900000	0.733	2014
56	The Lord of the Rings: The Two Towers	951208089	342551365	0.36	608656724	0.64	2002
57	Harry Potter and the Order of the Phoenix	942044510	292353413	0.31	649691097	0.69	2007
58	Finding Nemo	940343261	380843261	0.405	559500000	0.595	2003
59	Harry Potter and the Half-Blood Prince	934326396	302305431	0.324	632020965	0.676	2009
60	Shrek 2	928760770	441226247	0.475	487534523	0.525	2004
61	Bohemian Rhapsody	903655259	216428042	0.24	687227217	0.76	2018
62	Harry Potter and the Goblet of Fire	896346229	290417905	0.324	605928324	0.676	2005
63	Spider-Man 3	894983373	336530303	0.376	558453070	0.624	2007
64	The Lord of the Rings: The Fellowship of the Ring	887832826	315544750	0.355	572288076	0.645	2001
65	Ice Age: Dawn of the Dinosaurs	886686817	196573705	0.222	690113112	0.778	2009
66	Spectre	880674609	200074609	0.227	680600000	0.773	2015
67	Spider-Man: Homecoming	880166924	334201140	0.38	545965784	0.62	2017
68	Harry Potter and the Chamber of Secrets	879465594	262450136	0.298	617015458	0.702	2002
69	Ice Age: Continental Drift	877244782	161321843	0.184	715922939	0.816	2012
70	The Secret Life of Pets	875457937	368384330	0.421	507073607	0.579	2016
71	Batman v Superman: Dawn of Justice	873634919	330360194	0.378	543274725	0.622	2016
72	Wolf Warrior 2	870325439	2721100	0.003	867604339	0.997	2017
73	Star Wars: Episode III - Revenge of the Sith	868390560	380270577	0.438	488119983	0.562	2005
74	The Hunger Games: Catching Fire	865011746	424668047	0.491	440343699	0.509	2013
75	Guardians of the Galaxy Vol. 2	863756051	389813101	0.451	473942950	0.549	2017
76	Inside Out	857611174	356461711	0.416	501149463	0.584	2015
77	Venom	856085151	213515506	0.249	642569645	0.751	2018
78	Thor: Ragnarok	853977126	315058289	0.369	538918837	0.631	2017
79	Transformers: Revenge of the Fallen	836303693	402111870	0.481	434191823	0.519	2009
80	Inception	829895144	292576195	0.352	537318949	0.648	2010
81	The Twilight Saga: Breaking Dawn - Part 2	829746820	292324737	0.352	537422083	0.648	2012
82	Spider-Man	825025036	407022860	0.493	418002176	0.507	2002
83	Wonder Woman	821847012	412563408	0.502	409283604	0.498	2017
84	Independence Day	817400891	306169268	0.375	511231623	0.625	1996
85	Fantastic Beasts and Where to Find Them	814037575	234037575	0.288	580000000	0.712	2016
86	Shrek the Third	813367380	322719944	0.397	490647436	0.603	2007
87	Coco	807082196	209726015	0.26	597356181	0.74	2017
88	Jumanji: The Next Level	796575993	316831246	0.398	479744747	0.602	2019
89	Harry Potter and the Prisoner of Azkaban	796093802	249975996	0.314	546117806	0.686	2004
90	Pirates of the Caribbean: Dead Men Tell No Tales	794861794	172558876	0.217	622302918	0.783	2017
91	E.T. the Extra-Terrestrial	793482178	435110554	0.548	358371624	0.452	1982
92	2012	791217826	166112167	0.21	625105659	0.79	2009
93	Mission: Impossible - Fallout	791115104	220159104	0.278	570956000	0.722	2018
94	Indiana Jones and the Kingdom of the Crystal Skull	790653942	317101119	0.401	473552823	0.599	2008
95	Spider-Man 2	788976453	373585825	0.474	415390628	0.526	2004
96	Fast & Furious 6	788679850	238679850	0.303	550000000	0.697	2013
97	Deadpool 2	785794179	324591735	0.413	461202444	0.587	2018
98	Deadpool	782612155	363070709	0.464	419541446	0.536	2016
99	Star Wars: Episode IV - A New Hope	775512064	460998507	0.594	314513557	0.406	1977
100	Guardians of the Galaxy	772776600	333176600	0.431	439600000	0.569	2014
101	The Da Vinci Code	760006945	217536138	0.286	542470807	0.714	2006
102	Fast & Furious Presents: Hobbs & Shaw	759056935	173956935	0.229	585100000	0.771	2019
103	Maleficent	758410378	241410378	0.318	517000000	0.682	2014
104	The Amazing Spider-Man	757930663	262030663	0.346	495900000	0.654	2012
105	The Hunger Games: Mockingjay - Part 1	755356711	337135885	0.446	418220826	0.554	2014
106	Shrek Forever After	752600867	238736787	0.317	513864080	0.683	2010
107	Madagascar 3: Europe's Most Wanted	746921274	216391482	0.29	530529792	0.71	2012
108	Suicide Squad	746846894	325100054	0.435	421746840	0.565	2016
109	X-Men: Days of Future Past	746045700	233921534	0.314	512124166	0.686	2014
110	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	745013115	291710957	0.392	453302158	0.608	2005
111	Monsters University	743559607	268492764	0.361	475066843	0.639	2013
112	The Matrix Reloaded	741846459	281576461	0.38	460269998	0.62	2003
113	Up	735099082	293004164	0.399	442094918	0.601	2009
114	Ne Zha	726063471	3695533	0.005	722367938	0.995	2019
115	Gravity	723192705	274092705	0.379	449100000	0.621	2013
116	Captain America: The Winter Soldier	714421503	259766572	0.364	454654931	0.636	2014
117	The Twilight Saga: Breaking Dawn - Part 1	712205856	281287133	0.395	430918723	0.605	2011
118	The Twilight Saga: New Moon	711020081	297816253	0.419	413203828	0.581	2009
119	Dawn of the Planet of the Apes	710644566	208545589	0.294	502098977	0.706	2014
120	Transformers	709709780	319246193	0.45	390463587	0.55	2007
121	The Amazing Spider-Man 2	708982323	202853933	0.286	506128390	0.714	2014
122	It	701796444	328828874	0.469	372967570	0.531	2017
123	The Wandering Earth	699760773	5875487	0.008	693885286	0.992	2019
124	The Twilight Saga: Eclipse	698491347	300531751	0.43	397959596	0.57	2010
125	Mission: Impossible - Ghost Protocol	694713380	209397903	0.301	485315477	0.699	2011
126	The Hunger Games	694394724	408010692	0.588	286384032	0.412	2012
127	Moana	690845539	248757044	0.36	442088495	0.64	2016
128	Mission: Impossible - Rogue Nation	682714267	195042377	0.286	487671890	0.714	2015
129	Forrest Gump	678222284	330455270	0.487	347767014	0.513	1994
130	Doctor Strange	677718395	232641920	0.343	445076475	0.657	2016
131	Interstellar	677471339	188020017	0.278	489451322	0.722	2014
132	The Sixth Sense	672806292	293506292	0.436	379300000	0.564	1999
133	Man of Steel	668045518	291045518	0.436	377000000	0.564	2013
134	Ice Age: The Meltdown	667094506	195330621	0.293	471763885	0.707	2006
135	Kung Fu Panda 2	665692281	165249063	0.248	500443218	0.752	2011
136	The Hunger Games: Mockingjay - Part 2	658344137	281723902	0.428	376620235	0.572	2015
137	Justice League	657924295	229024295	0.348	428900000	0.652	2017
138	Big Hero 6	657827828	222527828	0.338	435300000	0.662	2014
139	Fantastic Beasts: The Crimes of Grindelwald	654855901	159555901	0.244	495300000	0.756	2018
140	Pirates of the Caribbean: The Curse of the Black Pearl	654264015	305413918	0.467	348850097	0.533	2003
141	Star Wars: Episode II - Attack of the Clones	653779970	310676740	0.475	343103230	0.525	2002
142	Thor: The Dark World	644783140	206362140	0.32	438421000	0.68	2013
143	Sing	634151679	270395425	0.426	363756254	0.574	2016
144	Monsters, Inc.	632316649	289916256	0.458	342400393	0.542	2001
145	Kung Fu Panda	631746197	215434591	0.341	416311606	0.659	2008
146	The Incredibles	631606713	261441092	0.414	370165621	0.586	2004
147	The Martian	630161890	228433663	0.362	401728227	0.638	2015
148	Hancock	629443428	227946274	0.362	401497154	0.638	2008
149	Fast Five	626137675	209837675	0.335	416300000	0.665	2011
150	Men in Black 3	624026776	179020854	0.287	445005922	0.713	2012
151	Iron Man 2	623933331	312433331	0.501	311500000	0.499	2010
152	Ratatouille	623726085	206445654	0.331	417280431	0.669	2007
153	Ant-Man and the Wasp	622674139	216648740	0.348	406025399	0.652	2018
154	How to Train Your Dragon 2	621537519	177002924	0.285	444534595	0.715	2014
155	Logan	619021436	226277068	0.366	392744368	0.634	2017
156	The Lost World: Jurassic Park	618638999	229086679	0.37	389552320	0.63	1997
157	Casino Royale	616501619	167445960	0.272	449055659	0.728	2006
158	The Passion of the Christ	612054428	370782930	0.606	241271498	0.394	2004
159	Mamma Mia!	609896805	144169664	0.236	465727141	0.764	2008
160	Life of Pi	609016565	124987023	0.205	484029542	0.795	2012
161	Transformers: The Last Knight	605425157	130168683	0.215	475256474	0.785	2017
162	Madagascar: Escape 2 Africa	603900354	180010950	0.298	423889404	0.702	2008
163	War of the Worlds	603873119	234280354	0.388	369592765	0.612	2005
164	Tangled	592461732	200821936	0.339	391639796	0.661	2010
165	Quantum of Solace	589580482	168368427	0.286	421212055	0.714	2008
166	Men in Black	589390539	250690539	0.425	338700000	0.575	1997
167	The Croods	587204668	187168425	0.319	400036243	0.681	2013
168	The Hangover Part II	586764305	254464305	0.434	332300000	0.566	2011
169	I Am Legend	585410052	256393010	0.438	329017042	0.562	2007
170	Iron Man	585366247	318604126	0.544	266762121	0.456	2008
171	Ready Player One	582890172	137690172	0.236	445200000	0.764	2018
172	Operation Red Sea	579330426	1543547	0.003	577786879	0.997	2018
173	Night at the Museum	574480841	250863268	0.437	323617573	0.563	2006
174	Fifty Shades of Grey	569651467	166167230	0.292	403484237	0.708	2015
175	Kong: Skull Island	566652812	168052812	0.297	398600000	0.703	2017
176	The Smurfs	563749323	142614158	0.253	421135165	0.747	2011
177	King Kong	562363449	218080025	0.388	344283424	0.612	2005
178	Cars 2	559852396	191452396	0.342	368400000	0.658	2011
179	Puss in Boots	554987477	149260504	0.269	405726973	0.731	2011
180	The Mermaid	553810228	3232685	0.006	550577543	0.994	2016
181	Armageddon	553709788	201578182	0.364	352131606	0.636	1998
182	The Day After Tomorrow	552639571	186740799	0.338	365898772	0.662	2004
183	Ted	549368315	218815487	0.398	330552828	0.602	2012
184	Star Wars: Episode V - The Empire Strikes Back	547897454	290271960	0.53	257625494	0.47	1980
185	American Sniper	547426372	350126372	0.64	197300000	0.36	2014
186	Mission: Impossible II	546388108	215409889	0.394	330978219	0.606	2000
187	Detective Chinatown 2	544185156	1983984	0.004	542201172	0.996	2018
188	X-Men: Apocalypse	543934105	155442489	0.286	388491616	0.714	2016
189	Sherlock Holmes: A Game of Shadows	543848418	186848418	0.344	357000000	0.656	2011
