Rank	Title	WorldwideLifetimeGross	Domesti LifetimeGross	Domestic%	ForeignLifetimeGross	Foreign%	Year
980	Starsky & Hutch	170268750	88237754	0.518	82030996	0.482	2004
981	Shall We Dance	170128460	57890460	0.34	112238000	0.66	2004
982	Stuart Little 2	169956806	64956806	0.382	105000000	0.618	2002
983	Zookeeper	169852759	80360843	0.473	89491916	0.527	2011
984	Dumb and Dumber To	169837010	86208010	0.508	83629000	0.492	2014
985	Ghost in the Shell	169801921	40563557	0.239	129238364	0.761	2017
986	Seven Pounds	169748929	69951824	0.412	99797105	0.588	2008
987	Meet the Robinsons	169333034	97822171	0.578	71510863	0.422	2007
988	The Emperor's New Groove	169327687	89302687	0.527	80025000	0.473	2000
989	12 Monkeys	168839459	57141459	0.338	111698000	0.662	1995
990	Dodgeball	168423227	114326736	0.679	54096491	0.321	2004
991	Hellboy II: The Golden Army	168319243	75986503	0.451	92332740	0.549	2008
992	Insidious: The Last Key	167885588	67745330	0.404	100140258	0.596	2018
993	Fantastic Four	167882881	56117548	0.334	111765333	0.666	2015
994	Unstoppable	167805466	81562942	0.486	86242524	0.514	2010
995	Three Men and a Baby	167780960	167780960	1	0	0	1987
996	Magic Mike	167739368	113721571	0.678	54017797	0.322	2012
997	Alexander	167298192	34297191	0.205	133001001	0.795	2004
998	Up in the Air	166842739	83823381	0.502	83019358	0.498	2009
999	Nutty Professor II: The Klumps	166339890	123309890	0.741	43030000	0.259	2000
1000	Sleepers	165615285	53315285	0.322	112300000	0.678	1996
